UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
DF,97012,9,228,335,298,20221030T080001,20221030T170030,407,7,274,UE2020
DF,97012,9,181,329,274,20221030T080001,20221030T170346,407,14,253,UE2020
DF,97012,9,172,369,315,20221030T080001,20221030T170634,407,14,294,UE2020
DF,97012,9,338,302,241,20221030T080001,20221030T170039,407,4,239,UE2020
DF,97012,9,49,254,219,20221030T080001,20221030T170936,407,8,195,UE2020
DF,97012,9,388,303,255,20221030T080001,20221030T170403,407,11,244,UE2020
DF,97012,9,79,231,189,20221030T080001,20221030T170253,407,5,167,UE2020
DF,97012,9,328,324,270,20221030T080001,20221030T170226,407,6,245,UE2020
DF,97012,9,383,269,237,20221030T080001,20221030T170215,407,12,237,UE2020
DF,97012,9,89,233,202,20221030T080001,20221030T170446,407,10,185,UE2020
DF,97012,9,368,314,278,20221030T080001,20221030T170640,407,19,278,UE2020
DF,97012,9,279,347,255,20221030T080001,20221030T170848,407,8,231,UE2020
DF,97012,9,30,335,285,20221030T080001,20221030T170125,407,14,257,UE2020
DF,97012,9,265,333,270,20221030T080001,20221030T170548,407,6,250,UE2020
DF,97012,9,297,313,257,20221030T080001,20221030T170219,407,10,241,UE2020
DF,97012,9,222,276,237,20221030T080001,20221030T170158,407,8,223,UE2020
DF,97012,9,275,345,234,20221030T080001,20221030T170604,407,8,197,UE2020
DF,97012,9,54,258,212,20221030T080001,20221030T170804,407,21,196,UE2020
DF,97012,9,381,313,275,20221030T080827,20221030T171217,407,11,275,UE2020
DF,97012,9,85,231,194,20221030T080001,20221030T170609,407,8,175,UE2020
DF,97012,9,29,334,279,20221030T080707,20221030T170357,407,4,250,UE2020
DF,97012,9,242,432,353,20221030T080114,20221030T170602,407,12,345,UE2020
DF,97012,9,51,259,227,20221030T080001,20221030T170747,407,9,198,UE2020
DF,97012,9,43,256,218,20221030T080001,20221030T170802,407,10,202,UE2020
DF,97012,9,52,260,219,20221030T080001,20221030T171402,407,15,198,UE2020
DF,97012,9,221,436,391,20221030T080001,20221030T170634,407,9,379,UE2020
DF,97012,9,311,327,275,20221030T080001,20221030T170230,407,8,252,UE2020
DF,97012,9,384,303,274,20221030T080001,20221030T170346,407,10,263,UE2020
DF,97012,9,116,340,288,20221030T080451,20221030T170329,407,13,265,UE2020
DF,97012,9,262,347,251,20221030T080001,20221030T170131,407,9,221,UE2020
DF,97012,9,166,365,312,20221030T080001,20221030T170508,407,27,254,UE2020
DF,97012,9,215,328,278,20221030T080001,20221030T170441,407,6,267,UE2020
DF,97012,9,341,299,253,20221030T080001,20221030T170226,407,9,251,UE2020
DF,97012,9,396,280,236,20221030T080001,20221030T170331,407,6,234,UE2020
DF,97012,9,77,232,188,20221030T080001,20221030T170400,407,10,164,UE2020
DF,97012,9,156,328,262,20221030T080001,20221030T170114,407,22,255,UE2020
DF,97012,9,82,228,195,20221030T080001,20221030T170441,407,1,177,UE2020
DF,97012,9,349,311,264,20221030T080001,20221030T170508,407,5,264,UE2020
DF,97012,9,352,284,225,20221030T080001,20221030T170442,407,6,221,UE2020
DF,97012,9,306,255,214,20221030T080001,20221030T170540,407,8,199,UE2020
DF,97012,9,418,393,327,20221030T080001,20221030T170539,407,9,258,UE2020
DF,97012,9,377,304,247,20221030T080001,20221030T170549,407,19,244,UE2020
DF,97012,9,170,365,306,20221030T080001,20221030T170355,407,15,285,UE2020
DF,97012,9,72,233,202,20221030T080001,20221030T170201,407,7,186,UE2020
DF,97012,9,59,279,214,20221030T080001,20221030T170229,407,11,199,UE2020
DF,97012,9,317,301,259,20221030T080001,20221030T170309,407,11,252,UE2020
DF,97012,9,190,373,294,20221030T080001,20221030T170101,407,12,282,UE2020
DF,97012,9,57,282,242,20221030T080001,20221030T170514,407,10,225,UE2020
DF,97012,9,34,250,210,20221030T080001,20221030T170532,407,4,196,UE2020
DF,97012,9,404,307,245,20221030T080001,20221030T170332,407,10,234,UE2020
DF,97012,9,195,325,278,20221030T080002,20221030T170327,407,6,261,UE2020
DF,97012,9,243,344,251,20221030T080001,20221030T170057,407,4,232,UE2020
